Pääkategoria;Alakategoria;Tyyppi;Kysymys;Oikea vastaus;Vaihtoehdot (erota pilkulla tai jätä erilleen);Selitys
Konepellin alla;Taso 7: Uudet arkkitehtuurit;multiple_choice;"Mikä on 'Transformer'-arkkitehtuuri?";"Modernien kielimallien perusta";"Modernien kielimallien perusta, Muuttuva robotti, Sähkölaite, Auto-tekoäly";"Transfomerit mahdollistivat ChatGPT:n kaltaiset suuret kielimallit huomaamalla yhteydet sanojen välillä."
Tekoäly arjessamme;Taso 1: Alkeet;scenario;"SKENAARIO: Katsoit TikTokissa pari hassua eläin-videota. Seuraavana päivänä huomaat, että koko feedisi on täynnä eläimiä. Miksi näin kävi?";"Suosittelualgoritmi huomasi sinun viihtyvän eläinvideoiden parissa";"Asetusvirhe, Suosittelualgoritmi huomasi sinun viihtyvän eläinvideoiden parissa, Tekninen häiriö, Sattumaa";"Olet opettanut algoritmille, mistä pidät katseluajalla."
Tekoäly arjessamme;Taso 2: Kasvontunnistus;true_false;"Käyttääkö puhelimen lukituksen avaaminen kasvoilla tekoälyä?";"Kyllä";"Kyllä, Ei";"Se vertaa kasvojasi aiemmin opituihin piirteisiin tekoälyn avulla."
Tekoäly arjessamme;Taso 3: Hakukoneet;multiple_choice;"Miten Google käyttää tekoälyä?";"Ymmärtääkseen hakusi tarkoituksen paremmin";"Ymmärtääkseen hakusi tarkoituksen paremmin, Löytääkseen halvimmat hinnat, Poistaakseen internetin, Kysymällä muilta ihmisiltä";"Tekoäly auttaa ymmärtämään mitä oikeasti etsit, vaikka et käyttäisi täsmälleen oikeita sanoja."
Tekoäly arjessamme;Taso 4: Suoratoisto;multiple_choice;"Miten Netflix osaa suositella sinulle sopivia elokuvia?";"Analysoimalla muiden samankaltaisten käyttäjien valintoja";"Analysoimalla muiden samankaltaisten käyttäjien valintoja, He arvaavat, Se on aina sama lista kaikille, Katsomalla sinua kamerasta";"Suosittelualgoritmit etsivät 'maku-profiileja' ja tarjoavat sisältöä niiden perusteella."
Tekoäly arjessamme;Taso 5: Kartat ja reitit;true_false;"Ennustaako Google Maps ruuhkia tekoälyn avulla?";"Kyllä";"Kyllä, Ei";"Se analysoi historiadataa ja reaaliaikaista sijaintitietoa laskeakseen nopeimman reitin."
Tekoäly arjessamme;Taso 6: Robotti-imurit;multiple_choice;"Miten robotti-imuri tunnistaa esteet?";"Sensoreilla ja koneoppimisella";"Sensoreilla ja koneoppimisella, Sattumanvaraisesti törmäilemällä, Se näkee unia, Siinä on ihminen sisällä";"Nykyaikaiset imurit oppivat kotisi kartan ja tunnistavat esineet (kuten sukat!) tekoälyn avulla."
Tekoäly arjessamme;Taso 7: Älykodit;multiple_choice;"Mikä on unelma 'älykodista'?";"Koti joka oppii rutiinisi ja säästää energiaa";"Koti joka oppii rutiinisi ja säästää energiaa, Koti joka puhuu koko ajan, Koti jossa on paljon lamppuja, Koti joka vaihtaa paikkaa";"Tekoäly voi säädellä lämpöä ja valoja sen mukaan, milloin olet kotona."
Reilu peli;Taso 1: Puolueellisuus;multiple_choice;"Miksi tekoäly voi olla ennakkoluuloinen (bias)?";"Koska sen opetusdata on ollut yksipuolista";"Koska sen opetusdata on ollut yksipuolista, Koska se on vihainen, Se on mahdotonta, Koska se on tehty koneella";"Jos mallille opetetaan vain tietynlaisia esimerkkejä, se oppii suosimaan niitä eettisesti väärin."
Reilu peli;Taso 2: Yksityisyys;true_false;"Onko turvallista syöttää henkilötietoja julkiseen tekoälyyn?";"Ei, tiedot voivat päätyä osaksi opetusmateriaalia";"Ei, tiedot voivat päätyä osaksi opetusmateriaalia, Kyllä, se on täysin salattua";"Monet tekoälyt tallentavat käydyt keskustelut kehitystä varten, joten varo salaisuuksia!"
Reilu peli;Taso 3: Syväväärennökset;multiple_choice;"Mikä on syväväärennös (Deepfake)?";"Tekoälyllä luotu aidolta näyttävä huijausvideo tai -kuva";"Tekoälyllä luotu aidolta näyttävä huijausvideo tai -kuva, Hyvin syvä reikä, Väärennetty passi, Tietokonepeli";"Deepfaket voivat laittaa ihmiset sanomaan asioita, joita he eivät oikeasti ole sanoneet."
Reilu peli;Taso 4: Tekijänoikeudet;multiple_choice;"Kuka omistaa tekoälyn luoman taideteoksen koodin?";"Tämä on monimutkainen ja uusi lakikysymys";"Tämä on monimutkainen ja uusi lakikysymys, Aina tekoäly itse, Aina ihminen joka painoi nappia, Valtio";"Tällä hetkellä laki etsii vielä vastausta siihen, kuka omistaa 'koneen luovuuden'."
Reilu peli;Taso 5: Avoimuus;true_false;"Pitäisikö meidän aina tietää, puhummeko ihmisen vai tekoälyn kanssa?";"Kyllä, se on eettisesti suositeltavaa";"Kyllä, se on eettisesti suositeltavaa, Ei se ole tärkeää";"Läpinäkyvyys rakentaa luottamusta teknologian ja ihmisten välille."
Reilu peli;Taso 6: Työelämän muutos;multiple_choice;"Miten tekoäly vaikuttaa tulevaisuuden töihin?";"Se poistaa joitain töitä, mutta luo täysin uusia";"Se poistaa joitain töitä, mutta luo täysin uusia, Kaikki työt loppuvat, Mikään ei muutu, Töitä on enemmän kaikille";"Rutiinitehtävät vähenevät, mutta tarve tekoälyä osaaville ihmisille kasvaa."
Reilu peli;Taso 7: Kohdistaminen;multiple_choice;"Mitä tarkoitetaan AI Alignmentilla?";"Tekoälyn tavoitteiden kohdistamista ihmiskunnan parhaaksi";"Tekoälyn tavoitteiden kohdistamista ihmiskunnan parhaaksi, Tekoälyn asettamista riveihin, Netin korjaamista, Tiedon suodatusta";"Alignment on tavoite varmistaa, ettei tekoäly vahingossakaan toimi ihmisten arvoja vastaan."
Tekoälyn käyttötaidot;Taso 1: Kehotteet;multiple_choice;"Mikä on 'prompt'?";"Ohje tai kysymys jolla ohjaat tekoälyä";"Ohje tai kysymys jolla ohjaat tekoälyä, Salasana, Tietokoneen merkki, Uusi peli";"Kehote (prompt) on tärkein työkalusi tekoälyn komentamiseen."
Tekoälyn käyttötaidot;Taso 2: Hallusinaatiot;true_false;"Voiko tekoäly joskus puhua täyttä pajunköyttä vakuuttavasti?";"Kyllä, tätä kutsutaan hallusinaatioksi";"Kyllä, tätä kutsutaan hallusinaatioksi, Ei, se tietää aina totuuden";"Kielimallit yrittävät miellyttää ja voivat siksi keksiä faktoja tyhjästä."
Tekoälyn käyttötaidot;Taso 3: Konteksti;multiple_choice;"Miten saat tekoälyltä parempia vastauksia?";"Antamalla sille taustatietoa eli kontekstia";"Antamalla sille taustatietoa eli kontekstia, Kirjoittamalla lyhyemmin, Kysymällä vain kerran, Huutamalla ISOILLA KIRJAIMILLA";"Mitä enemmän tekoäly tietää tilanteesta, sitä osuvampia ohjeita se voi antaa."
Tekoälyn käyttötaidot;Taso 4: Kritiikki;true_false;"Pitäisikö tekoälyn vastaukset tarkistaa aina muista lähteistä?";"Kyllä, medialukutaito on tärkeää";"Kyllä, medialukutaito on tärkeää, Ei, tekoäly on internettiä viisaampi";"Lähdekriittisyys on AI-ajalla tärkeämpi taito kuin koskaan."
Tekoälyn käyttötaidot;Taso 5: Kuvien luonti;multiple_choice;"Millainen kehote tuottaa parhaita tekoälykuvia?";"Kuvaileva ja yksityiskohtainen";"Kuvaileva ja yksityiskohtainen, Mahdollisimman lyhyt, Sekava, Tyhjä";"Kuvaile valo, tyyli, värit ja kohde tarkasti saadaksesi hyviä tuloksia."
Tekoälyn käyttötaidot;Taso 6: Monimuotoisuus;multiple_choice;"Mitä tarkoitetaan multimodaalisella tekoälyllä?";"Se ymmärtää tekstiä, kuvaa, ääntä ja videoita samanaikaisesti";"Se ymmärtää tekstiä, kuvaa, ääntä ja videoita samanaikaisesti, Se on hyvin nopea, Se toimii monessa maassa, Se on kallis";"Modernit mallit (kuten GPT-4o tai Gemini) osaavat katsella kuvia ja kuunnella kerralla."
Tekoälyn käyttötaidot;Taso 7: Guruksi;multiple_choice;"Miten voit testata tekoälyn päättelyä?";"Pyytämällä sitä ajattelemaan 'askel kerrallaan'";"Pyytämällä sitä ajattelemaan 'askel kerrallaan', Kysymällä siltä kuka se on, Antamalla sille nimen, Sulkemalla sen";"Chain-of-thought eli ajatuksen ketjuttaminen pakottaa mallin välivaiheisiin, mikä parantaa logiikkaa."
Aivoterveys;Taso 1: Turingin testi;multiple_choice;"Mikä on Turingin testin tavoite?";"Katsoa voiko kone huijata ihmistä luulemaan sitä toiseksi ihmiseksi";"Katsoa voiko kone huijata ihmistä luulemaan sitä toiseksi ihmiseksi, Testata koneen nopeutta, Katsoa osaako kone uida, Testata internet-yhteyttä";"Alan Turing kehitti tämän kokeen määritelläkseen, voiko kone ajatella."
Aivoterveys;Taso 2: Emergenssi;multiple_choice;"Mitä tarkoittaa emergenssi tekoälyssä?";"Uusien, odottamattomien taitojen syntymistä mallin kasvaessa";"Uusien, odottamattomien taitojen syntymistä mallin kasvaessa, Koneen hajoamista, Tiedon poistumista, Hidastumista";"Erittäin suuret mallit saattavat alkaa osata taitoja (kuten vitsit tai koodaus), joita niille ei suoraan opetettu."
Aivoterveys;Taso 3: Singularity;multiple_choice;"Mikä on teknologinen singulariteetti?";"Hetki jolloin tekoäly ylittää ihmisälyn ja kehitys kiihtyy hallitsemattomaksi";"Hetki jolloin tekoäly ylittää ihmisälyn ja kehitys kiihtyy hallitsemattomaksi, Avaruusmatka, Pelin loppu, Tekoälyn sammuminen";"Tämä on tulevaisuusfuturologien ennustus, jonka toteutumisesta kiistellään."
Aivoterveys;Taso 4: Tekoälyn talvet;multiple_choice;"Mitä oli 'AI Winter'?";"Aika jolloin tekoälyn rahoitus ja kiinnostus lopuivat vuosiksi";"Aika jolloin tekoälyn rahoitus ja kiinnostus lopuivat vuosiksi, Loma-aika, Pohjoisnapa, Varkaus";"Historiassa on ollut useita jaksoja, jolloin tekoälyyn ei enää uskottu."
Aivoterveys;Taso 5: Superäly;true_false;"Pidetäänkö superälyä potentiaalisena riskinä ihmiskunnalle?";"Kyllä, se on merkittävä tutkimuskohde";"Kyllä, se on merkittävä tutkimuskohde, Ei, se on mahdotonta";"Superäly (Superintelligence) vaatii tarkat turvasäännöt toimiakseen ihmisen hyväksi."
Aivoterveys;Taso 6: Kvanteista tekoälyyn;multiple_choice;"Miten kvanttitietokoneet voisivat auttaa tekoälyä?";"Ne pystyisivät laskemaan valtavia määriä dataa silmänräpäyksessä";"Ne pystyisivät laskemaan valtavia määriä dataa silmänräpäyksessä, Ne tekisivät niistä pienempiä, Ne eivät auta, Ne tekisivät niistä vihreitä";"Kvanttilaskenta voisi mullistaa sen, miten nopeasti ja monimutkaisia asioita tekoäly osaa."
Aivoterveys;Taso 7: Suurmestari;true_false;"Oletko nyt valmis kohtaamaan tekoälyn tulevaisuuden?";"Aina valmis oppimaan uutta";"Aina valmis oppimaan uutta, En vielä";"Hienoa! Tekoälyn suurin taito on kyky pysyä uteliaana."
Digiturva;Taso 1: Syvyydet;multiple_choice;"Mitä meri opettaa tekoälystä?";"Että tieto on syvää ja se kätkee paljon salaisuuksia";"Että tieto on syvää ja se kätkee paljon salaisuuksia, Että siellä on kaloja, Että vesi on märkää, Ei mitään";"Digiturva edustaa tuntematonta ja uutta tietoa."
Digiturva;Taso 2: Heijastus;true_false;"Onko tekoäly vain meidän ihmisten heijastus?";"Kyllä, se on oppinut kaiken meiltä";"Kyllä, se on oppinut kaiken meiltä, Ei, se on itsenäinen olennto";"Tekoäly opiskelee meidän kirjoittamaa tekstiä ja historiaa."
Digiturva;Taso 3: Luovuus;multiple_choice;"Voiko tekoäly olla todella luova?";"Se yhdistelee asioita uusilla tavoilla";"Se yhdistelee asioita uusilla tavoilla, Ei koskaan, Vain perjantaisin, Kyllä se on ihminen";"Tekoälyn luovuus perustuu valtavien tietomäärien uudenlaiseen yhdistelyyn."
Digiturva;Taso 4: Tunteet;true_false;"Voiko koodi tuntea surua?";"Ei, se voi vain simuloida sitä";"Ei, se voi vain simuloida sitä, Kyllä";"Koneilla ei ole biologista kehoa tai tunteita, vain matemaattisia malleja."
Digiturva;Taso 5: Yhteistyö;multiple_choice;"Mikä on paras tapa käyttää tekoälyä?";"Ihmisen ja koneen yhteistyönä (Copilot)";"Ihmisen ja koneen yhteistyönä (Copilot), Antamalla koneen tehdä kaikki, Välttämällä sitä, Vain koodaamiseen";"Yhdessä ihminen ja tekoäly ovat vahvempia kuin kumpikaan yksin."
Digiturva;Taso 6: Vastuullisuus;multiple_choice;"Kuka on viime kädessä vastuussa tekoälyn teoista?";"Ihminen joka sitä käyttää tai kehitti sen";"Ihminen joka sitä käyttää tai kehitti sen, Tekoäly itse, Tietokone, Kukaan ei ole";"Vastuu on aina ihmisellä, vaikka työkalu olisi kuinka kehittynyt."
Digiturva;Taso 7: Loppusanat;multiple_choice;"Mikä on tärkein oppi tästä matkasta?";"Uteliaisuus ja kriittisyys";"Uteliaisuus ja kriittisyys, Että osaan vastata kysymyksiin, Että auto osaa ajaa, Pelin loppu";"Olet suorittanut AIVAN tien! Muista: maailma muuttuu, mutta oppiminen jatkuu."
